HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HURL,HVideos
"Lo F1-2 Duong Giap Van Cuong, Đà Nẵng Việt Nam",,,,,Hotel Victory,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Hotel Victory có điểm du lịch nổi tiếng nào?, ,Gần Hotel Victory có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21134945-Reviews-Hotel_Victory-Da_Nang.html,
"Tran Dinh Tri 70, Đà Nẵng Việt Nam",,,,,Da Nang Hostel Ngocson,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Da Nang Hostel Ngocson có điểm du lịch nổi tiếng nào?, ,Gần Da Nang Hostel Ngocson có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d19949171-Reviews-Da_Nang_Hostel_Ngocson-Da_Nang.html,
"1359 Nguyen Tat Thanh Phuong Thanh Khe Dong, Quan Thanh Khe, Đà Nẵng 550000 Việt Nam",,,,,SPOT ON 1115 Romantic Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần SPOT ON 1115 Romantic Motel có điểm du lịch nổi tiếng nào?, ,Gần SPOT ON 1115 Romantic Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21336848-Reviews-SPOT_ON_1115_Romantic_Motel-Da_Nang.html,
"29 Lý Chính Thắng, Đà Nẵng Việt Nam",,,,,Nha nghi hien quy 3,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Nha nghi hien quy 3 có điểm du lịch nổi tiếng nào?, ,Gần Nha nghi hien quy 3 có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23383903-Reviews-Nha_nghi_hien_quy_3-Da_Nang.html,
"Phu Xuan 3 03, Đà Nẵng Việt Nam",,,,,My Dung Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần My Dung Motel có điểm du lịch nổi tiếng nào?, ,Gần My Dung Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23187018-Reviews-My_Dung_Motel-Da_Nang.html,
"Lo 23 B7 1 Nguyen Tat Thanh, Đà Nẵng 550000 Việt Nam",,,,,OYO 969 Anh Thy Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần OYO 969 Anh Thy Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 969 Anh Thy Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21335213-Reviews-OYO_969_Anh_Thy_Motel-Da_Nang.html,
"88 Nguyễn ViếT Xuân, Phường Hòa Minh, QuậN Liên Chiểu, Đà Nẵng Việt Nam",,,,,Phu Quy Hotel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Phu Quy Hotel có điểm du lịch nổi tiếng nào?, ,Gần Phu Quy Hotel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d19656103-Reviews-Phu_Quy_Hotel-Da_Nang.html,
"192/64 To Hieu Street, Lien Chieu, Đà Nẵng 550000 Việt Nam",,,,,OYO 962 Tulip Motel,Lien Chieu,Việt Nam,"Việt Nam,Đà Nẵng,Lien Chieu","Gần OYO 962 Tulip Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 962 Tulip Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g16740551-d21302001-Reviews-OYO_962_Tulip_Motel-Lien_Chieu_Da_Nang.html,
"50 Hong Thai, near Da Nang Railway Station Hoa Minh Ward, Đà Nẵng 550000 Việt Nam",,,,,OYO 1071 Nguyen Kim Motel,16,Việt Nam,"Việt Nam,Đà Nẵng,16","Gần OYO 1071 Nguyen Kim Motel có điểm du lịch nổi tiếng nào?, ,Gần OYO 1071 Nguyen Kim Motel có nhà hàng nào?, ",,,,,,,,16.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21289224-Reviews-OYO_1071_Nguyen_Kim_Motel-Da_Nang.html,
"Near Tran Cao Van, Đà Nẵng 550000 Việt Nam",,,,,OYO 1121 Bao Viet Hotel,14,Việt Nam,"Việt Nam,Đà Nẵng,14","Gần OYO 1121 Bao Viet Hotel có điểm du lịch nổi tiếng nào?, ,Gần OYO 1121 Bao Viet Hotel có nhà hàng nào?, ",,,,,,,,14.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21093864-Reviews-OYO_1121_Bao_Viet_Hotel-Da_Nang.html,
"100/2 Nguyễn Văn Thoại, Q. Ngũ Hành Sơn, Đà Nẵng Việt Nam",3.0,78.0,,"Tiếng Việt, Tiếng Anh",Khách sạn Nemo,409.091 ₫,272.727 ₫,"272.727 ₫, - ,409.091 ₫","Gần Khách sạn Nemo có điểm du lịch nổi tiếng nào?, ,Khách sạn Nemo có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Nemo có những tiện nghi phòng gì?, ,Khách sạn Nemo có chỗ đỗ xe không?, ,Gần Khách sạn Nemo có nhà hàng nào?, ,Khách sạn Nemo có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Nemo có cho phép vật nuôi không?, ,Nhân viên tại Khách sạn Nemo nói ngôn ngữ gì?, ,Khách sạn Nemo có trợ năng không?, ",,118.0,Số 8 trong 628 B&B / Nhà trọ tại Đà Nẵng,45.0,30.0,89.0,Tuyệt vời,17.0,"Yên tĩnh,Hiện đại",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d3793990-Reviews-Nemo_Hotel-Da_Nang.html,
"A2.3 Hoàng Sa, P. Thọ Quang, Q. Sơn Trà Tho Quang, Son Tra, Đà Nẵng 550000 Việt Nam",1.0,40.0,153.0,"Tiếng Việt, Tiếng Anh, Tiếng Đức",Khách sạn Dan Oasis,931.818 ₫,545.455 ₫,"545.455 ₫, - ,931.818 ₫","Gần Khách sạn Dan Oasis có điểm du lịch nổi tiếng nào?, ,Khách sạn Dan Oasis có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Dan Oasis có những tiện nghi phòng gì?, ,Khách sạn Dan Oasis có những lựa chọn đồ ăn & đồ uống gì?, ,Khách sạn Dan Oasis có chỗ đỗ xe không?, ,Gần Khách sạn Dan Oasis có nhà hàng nào?, ,Khách sạn Dan Oasis có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Dan Oasis có dịch vụ dọn phòng không?, ,Nhân viên tại Khách sạn Dan Oasis nói ngôn ngữ gì?, ",26.0,118.0,Số 99 trong 900 khách sạn tại Đà Nẵng,45.0,35.0,12.0,Tuyệt vời,30.0,"Hiện đại,Lãng mạn",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d7621465-Reviews-Dan_Oasis_Beach_Hotel_and_Apartment-Da_Nang.html,11.0
"ĐT605, Hoà Tiến, Hòa Vang, Đà Nẵng Việt Nam",,,,,Thanh Hoa Sabaidi,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Thanh Hoa Sabaidi có điểm du lịch nổi tiếng nào?, ,Gần Thanh Hoa Sabaidi có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d17603019-Reviews-Thanh_Hoa_Sabaidi-Da_Nang.html,
"238 Phan Khu B2 - 4 , Kdc So 1 Duong Dt 605, Thon Duong Son, Xa Hoa Chau, Huyen Hoa Vang, Đà Nẵng Việt Nam",,,,,OYO 1106 Duong Chau Phat Hotel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần OYO 1106 Duong Chau Phat Hotel có điểm du lịch nổi tiếng nào?, ,Gần OYO 1106 Duong Chau Phat Hotel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21097649-Reviews-OYO_1106_Duong_Chau_Phat_Hotel-Da_Nang.html,
"18 - 20 Phạm Phú Thứ, P.Hải Châu, Q. Hải Châu, Đà Nẵng 550000 Việt Nam",24.0,91.0,90.0,,OYO 157 Centre Hotelạn Centre,1.159.091 ₫,545.455 ₫,"545.455 ₫, - ,1.159.091 ₫","Gần OYO 157 Centre Hotelạn Centre có điểm du lịch nổi tiếng nào?, ,OYO 157 Centre Hotelạn Centre có những tiện nghi tại cơ sở kinh doanh gì?, ,OYO 157 Centre Hotelạn Centre có những tiện nghi phòng gì?, ,OYO 157 Centre Hotelạn Centre có những lựa chọn đồ ăn & đồ uống gì?, ,OYO 157 Centre Hotelạn Centre có chỗ đỗ xe không?, ,Gần OYO 157 Centre Hotelạn Centre có nhà hàng nào?, ,OYO 157 Centre Hotelạn Centre có dịch vụ đưa đón tại sân bay không?, ,OYO 157 Centre Hotelạn Centre có dịch vụ dọn phòng không?, ,OYO 157 Centre Hotelạn Centre có cung cấp dịch vụ doanh nghiệp nào không?, ,OYO 157 Centre Hotelạn Centre có trợ năng không?, ",63.0,120.0,Số 109 trong 900 khách sạn tại Đà Nẵng,45.0,30.0,153.0,Tuyệt vời,75.0,"Nằm ở vị trí trung tâm,Công tác",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d10151876-Reviews-OYO_157_Centre_Hotel-Da_Nang.html,17.0
"27 Luu Quang Thuan, Hoa Hai, Đà Nẵng Việt Nam",6.0,76.0,,,Vernal Home Boutique Villa,Hoa Hai,Việt Nam,"Việt Nam,Đà Nẵng,Hoa Hai","Gần Vernal Home Boutique Villa có điểm du lịch nổi tiếng nào?, ",,,,,,40.0,,,,https://www.tripadvisor.com.vn/Hotel_Review-g20045940-d23262374-Reviews-Vernal_Home_Boutique_Villa-Hoa_Hai_Da_Nang.html,
"107 Võ Nguyên Giáp, Ngũ Hành Sơn Furama Villas S20, Đà Nẵng 50000 Việt Nam",2.0,54.0,3.0,"Tiếng Việt, Tiếng Anh, Tiếng Pháp, Tiếng Nga",Abogo,100,Việt Nam,"Việt Nam,Đà Nẵng,100","Gần Abogo có điểm du lịch nổi tiếng nào?, ,Abogo có những tiện nghi tại cơ sở kinh doanh gì?, ,Abogo có những tiện nghi phòng gì?, ,Abogo có những lựa chọn đồ ăn & đồ uống gì?, ,Abogo có chỗ đỗ xe không?, ,Gần Abogo có nhà hàng nào?, ,Tôi có thể tập thể dục tại Abogo không?, ,Abogo có dịch vụ đưa đón tại sân bay không?, ,Abogo có dịch vụ đưa đón tại sân bay không?, ,Abogo có dịch vụ dọn phòng không?, ",14.0,2.0,Số 305 trong 900 khách sạn tại Đà Nẵng,50.0,,14.0,Tuyệt vời,100.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21321518-Reviews-Abogo-Da_Nang.html,2.0
"82B Che Lan Vien, My An, Đà Nẵng Việt Nam",6.0,69.0,,,Beach Pool Villa Da Nang- Boss Villa - Near My Khe Beach,My An,Việt Nam,"Việt Nam,Đà Nẵng,My An","Gần Beach Pool Villa Da Nang- Boss Villa - Near My Khe Beach có điểm du lịch nổi tiếng nào?, ,Gần Beach Pool Villa Da Nang- Boss Villa - Near My Khe Beach có nhà hàng nào?, ",,,,,,39.0,,,,https://www.tripadvisor.com.vn/Hotel_Review-g15296807-d23340673-Reviews-Beach_Pool_Villa_Da_Nang_Boss_Villa_Near_My_Khe_Beach-My_An_Da_Nang.html,
"03 Trần Quốc Toản, Q. Hải Châu, Đà Nẵng 550000 Việt Nam",27.0,94.0,122.0,"Tiếng Việt, Tiếng Anh",Memory Hostel,704.545 ₫,340.909 ₫,"340.909 ₫, - ,704.545 ₫","Gần Memory Hostel có điểm du lịch nổi tiếng nào?, ,Memory Hostel có những tiện nghi tại cơ sở kinh doanh gì?, ,Memory Hostel có những lựa chọn đồ ăn & đồ uống gì?, ,Memory Hostel có chỗ đỗ xe không?, ,Gần Memory Hostel có nhà hàng nào?, ,Memory Hostel có dịch vụ đưa đón tại sân bay không?, ,Memory Hostel có dịch vụ đưa đón tại sân bay không?, ,Nhân viên tại Memory Hostel nói ngôn ngữ gì?, ",13.0,121.0,Số 9 trong 813 Cơ sở lưu trú đặc biệt tại Đà Nẵng,45.0,10.0,173.0,Tuyệt vời,7.0,"Thời thượng,Bình dân",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d9593925-Reviews-Memory_Hostel-Da_Nang.html,6.0
"Lô 30-31-32 Nguyễn Văn Thoại Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",4.0,79.0,40.0,"Tiếng Việt, Tiếng Anh, Tiếng Pháp, Tiếng Trung",Khách sạn Bắc Cường,1.181.818 ₫,386.364 ₫,"386.364 ₫, - ,1.181.818 ₫","Gần Khách sạn Bắc Cường có điểm du lịch nổi tiếng nào?, ,Khách sạn Bắc Cường có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Bắc Cường có những lựa chọn đồ ăn & đồ uống gì?, ,Khách sạn Bắc Cường có chỗ đỗ xe không?, ,Gần Khách sạn Bắc Cường có nhà hàng nào?, ,Khách sạn Bắc Cường có cung cấp dịch vụ doanh nghiệp nào không?, ,Nhân viên tại Khách sạn Bắc Cường nói ngôn ngữ gì?, ",40.0,122.0,Số 293 trong 900 khách sạn tại Đà Nẵng,35.0,30.0,82.0,Rất tốt,100.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d6930541-Reviews-Bac_Cuong_Hotel-Da_Nang.html,5.0
"28 Dang Xuan Thieu, Ngu Hanh Son, Đà Nẵng Việt Nam",,,,Tiếng Việt,Ngan Ha Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Ngan Ha Motel có điểm du lịch nổi tiếng nào?, ,Ngan Ha Motel có những tiện nghi tại cơ sở kinh doanh gì?, ,Ngan Ha Motel có những lựa chọn đồ ăn & đồ uống gì?, ,Ngan Ha Motel có chỗ đỗ xe không?, ,Gần Ngan Ha Motel có nhà hàng nào?, ,Ngan Ha Motel có dịch vụ đưa đón tại sân bay không?, ,Ngan Ha Motel có dịch vụ dọn phòng không?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d12432531-Reviews-Ngan_Ha_Motel-Da_Nang.html,
"424 Võ Nguyên Giáp, biển Bắc Mỹ An, Quận Ngũ Hành Sơn ₫, Đà Nẵng Việt Nam",5.0,66.0,50.0,"Tiếng Việt, Tiếng Anh, Tiếng Trung, Tiếng Thái",Khách sạn Fansipan Đà Nẵng,1.250.000 ₫,568.182 ₫,"568.182 ₫, - ,1.250.000 ₫","Gần Khách sạn Fansipan Đà Nẵng có điểm du lịch nổi tiếng nào?, ,Khách sạn Fansipan Đà Nẵng có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Fansipan Đà Nẵng có những tiện nghi phòng gì?, ,Khách sạn Fansipan Đà Nẵng có những lựa chọn đồ ăn & đồ uống gì?, ,Khách sạn Fansipan Đà Nẵng có chỗ đỗ xe không?, ,Gần Khách sạn Fansipan Đà Nẵng có nhà hàng nào?, ,Tôi có thể tập thể dục tại Khách sạn Fansipan Đà Nẵng không?, ,Khách sạn Fansipan Đà Nẵng có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Fansipan Đà Nẵng có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Fansipan Đà Nẵng có dịch vụ dọn phòng không?, ,Khách sạn Fansipan Đà Nẵng có cung cấp dịch vụ doanh nghiệp nào không?, ",72.0,122.0,Số 178 trong 900 khách sạn tại Đà Nẵng,35.0,30.0,35.0,Rất tốt,80.0,"Hạng trung,Gia đình",https://www.tripadvisor.com.vn/Hotel_Review-g298085-d3222457-Reviews-Fansipan_Danang_Hotel-Da_Nang.html,7.0
"01 Mai Hac De Street, Son Tra District, Đà Nẵng Việt Nam",10.0,78.0,58.0,,D&C Hotel,590.909 ₫,295.455 ₫,"295.455 ₫, - ,590.909 ₫","Gần D&C Hotel có điểm du lịch nổi tiếng nào?, ,D&C Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,D&C Hotel có những tiện nghi phòng gì?, ,D&C Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,D&C Hotel có chỗ đỗ xe không?, ,Gần D&C Hotel có nhà hàng nào?, ,D&C Hotel có dịch vụ dọn phòng không?, ,D&C Hotel có trợ năng không?, ",27.0,123.0,Số 10 trong 628 B&B / Nhà trọ tại Đà Nẵng,40.0,20.0,29.0,Rất tốt,28.0,Hiện đại,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d3794014-Reviews-D_C_Hotel-Da_Nang.html,11.0
"An Son, Đà Nẵng Việt Nam",,,,,BA NA by Night Hotel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần BA NA by Night Hotel có điểm du lịch nổi tiếng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d21101436-Reviews-BA_NA_by_Night_Hotel-Da_Nang.html,
"04 Ấp Bắc Near Trần Đại Nghĩa Bus Stop, Hoa Hai, Đà Nẵng 550000 Việt Nam",,,,,OYO 1064 Phat Tai Hotel And Apartment,Hoa Hai,Việt Nam,"Việt Nam,Đà Nẵng,Hoa Hai","Gần OYO 1064 Phat Tai Hotel And Apartment có điểm du lịch nổi tiếng nào?, ,Gần OYO 1064 Phat Tai Hotel And Apartment có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g20045940-d21176352-Reviews-OYO_1064_Phat_Tai_Hotel_And_Apartment-Hoa_Hai_Da_Nang.html,
"Near Phan Văn Đáng, Đà Nẵng Việt Nam",,,,,SPOT ON 1012 Kim Anh Motel,,Việt Nam,"Việt Nam,Đà Nẵng","Gần SPOT ON 1012 Kim Anh Motel có điểm du lịch nổi tiếng nào?, ,Gần SPOT ON 1012 Kim Anh Motel có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23236854-Reviews-SPOT_ON_1012_Kim_Anh_Motel-Da_Nang.html,
"Nguyen Tat Thanh, Lien Chieu, Đà Nẵng 550000 Việt Nam",,,,,OYO 649 Nha Khach 683,Đà Nẵng,Nha Khach 683,"Nha Khach 683,Việt Nam,Đà Nẵng","Gần OYO 649 Nha Khach 683 có điểm du lịch nổi tiếng nào?, ,OYO 649 Nha Khach 683 có chỗ đỗ xe không?, ,Gần OYO 649 Nha Khach 683 có nhà hàng nào?, ",,,,,,,,36.0,,https://www.tripadvisor.com.vn/Hotel_Review-g16740551-d19958521-Reviews-OYO_649_Nha_Khach_683-Lien_Chieu_Da_Nang.html,
"269 Hồ Nghinh Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng 550000 Việt Nam",,,,,Kelly's Apartment,7,Việt Nam,"Việt Nam,Đà Nẵng,7","Gần Kelly's Apartment có điểm du lịch nổi tiếng nào?, ,Kelly's Apartment có những tiện nghi tại cơ sở kinh doanh gì?, ,Kelly's Apartment có những lựa chọn đồ ăn & đồ uống gì?, ,Kelly's Apartment có chỗ đỗ xe không?, ,Gần Kelly's Apartment có nhà hàng nào?, ,Kelly's Apartment có dịch vụ đưa đón tại sân bay không?, ",,,,,30.0,,,7.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d14111521-Reviews-Kelly_s_Apartment-Da_Nang.html,
"The Ocean Villas, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng Việt Nam",63.0,43.0,,,Hepro Beach Villas,3,Việt Nam,"Việt Nam,Đà Nẵng,3","Gần Hepro Beach Villas có điểm du lịch nổi tiếng nào?, ,Hepro Beach Villas có những tiện nghi tại cơ sở kinh doanh gì?, ,Hepro Beach Villas có những lựa chọn đồ ăn & đồ uống gì?, ,Hepro Beach Villas có chỗ đỗ xe không?, ,Gần Hepro Beach Villas có nhà hàng nào?, ,Tôi có thể tập thể dục tại Hepro Beach Villas không?, ",,,,,,567.0,,3.0,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d18978523-Reviews-Hepro_Beach_Villas-Da_Nang.html,
"Số 69, Nước Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn Carmen Apartment Da Nang, Đà Nẵng Việt Nam",,,,,Carmen Apartment Da Nang,,Việt Nam,"Việt Nam,Đà Nẵng","Gần Carmen Apartment Da Nang có điểm du lịch nổi tiếng nào?, ,Gần Carmen Apartment Da Nang có nhà hàng nào?, ",,,,,,,,,,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d23377506-Reviews-Carmen_Apartment_Da_Nang-Da_Nang.html,
